Code,Audience
0005,Demo: Women 13-24
0007,Demo: Men 13-24
0013,Demo: Women 13-34
0017,Demo: Men 13-17
0018,Demo: Men 18-24
0019,Demo: Women 50+
0021,Demo: 45+
0026,Demo: Women 13-17
0032,Socio Economic: Cash Strapped
0036,Socio Economic: Essential Workers
0037,Demo: Women 55+
0038,Demo: Adults 55+
0050,Lifestyle: Healthy Lifestyle
0051,Lifestyle: Green Living
0052,Lifestyle: Moms/Parenting
0053,Lifestyle: Beauty Maven
0054,Lifestyle: Fashion
0055,Lifestyle: Fitness/Active
0056,Lifestyle: Sports
0057,Lifestyle: Music
0058,Lifestyle: Travel
0059,Lifestyle: Personal Care
0060,Lifestyle: Health & Wellness
0061,Lifestyle: Passionate Progressives
0062,Lifestyle: Female Collective
0063,Lifestyle: Community Strong
0064,Lifestyle: Family with Kids
0065,Lifestyle: Parents
0066,Lifestyle: Healthcare Workers
0067,Lifestyle: Career
0068,Lifestyle: Business
0069,Lifestyle: Mental Health
0072,Past Purchase: Buyers of Duke's
0073,Past Purchase: Disinfectant/Sanitizer Purchasers
0074,Past Purchase: TRES Lovers
0075,Past Purchase: Klondike Cone Buyers
0078,Past Purchase: Wellness & Immunity Product Purchasers
0080,Past Purchase: Dry Shampoo Purchasers
0081,Past Purchase: Acne Sufferers
0082,Past Purchase: Ready to Heat Purchasers
0085,Past Purchase: Light Mayo Purchasers/Dieters
0086,Past Purchase: Sensitive Skin Sufferers
0087,Past Purchase: Old Spice Users and Buyers
0089,Past Purchase: Competitive Deo Stick Users
0090,Past Purchase: Competitive Deo Gel Users
0091,Past Purchase: Competitive Deo Spray Users
0092,Past Purchase: Vegan/Plant Based Purchasers
0093,Past Purchase: Degree Stick AP Users
0094,Past Purchase: Simplisitic & Sensible
0095,Past Purchase: Exfoliating
0096,Past Purchase: Body Wash Purchasers
0097,Past Purchase: Experiential Body Wash Purchasers
0098,Past Purchase: Competitive Bar
0099,Past Purchase: Dove Lovers
0100,Past Purchase: Dove Competitors
0101,Past Purchase: Chocolate Lovers
0102,Past Purchase: Non-Dairy
0106,Past Purchase: Premium Ice Cream Buyers
0109,Past Purchase: Neutrogena & Garnier Buyers
0110,Past Purchase: Competitive St Ives brands
0111,Past Purchase: Premium Novelty Buyers
0114,Past Purchase: Competitive Ponds brands
0115,Past Purchase: Ponds Purchaser
0116,Past Purchase: Simple Competitive Wipe Users
0117,Past Purchase: Simple Competitive Micellar Water Users
0118,Past Purchase: Suave Competitive Brand Buyers
0121,Custom: Nexxus Qualified
0122,Custom: Premium Hair Care Buyer
0123,Custom: Self Care Enthusiast
0124,Custom: Informed Shopper
0125,Custom: Destiny Shaper
0126,Custom: Cord Cutter/Cord Nevers
0127,Custom: Dandruff Sufferer
0128,Custom: Finger on the Pulse
0130,Custom: Nasties Avoiders
0131,Custom: Carb Conscious
0132,Custom: Calorie Conscious
0135,Custom: Routine Hydrators
0136,Custom: Anti-Aging Skin
0137,Custom: Glowing/Radiant Skin
0138,Custom: Healthy Skin
0139,Custom: SVG State of the Union
0140,Custom: Pre-Natal Moms 3rd Trimester
0141,Custom: Post-Natal Moms 0-2 months
0142,Custom: Dove Gen Z
0143,Custom: Suave Big Families
0144,Custom: AHC Beauty
0145,Custom: Suave Kids
0146,Custom: Personal Wash Qualified
0147,Custom: Suave W&C Qualified
0148,Custom: Mindful Progressive
0149,Custom: Holistic Green
0150,Custom: Expecting Mom
0151,Custom: HL Dukes Competitive
0152,Custom: Country Pride
0154,Custom: Suave Looks for Less
0155,Custom: Dove Qualified
0156,Custom: Hair Qualified
0157,Custom: Green & Clean
0158,Custom: Community Strong
0159,Custom: Transparency Seeker
0160,Custom: Talenti Pint Competitors
0161,Custom: Balanced Foodie
0162,Custom: Talenti Trendsetter
0163,Custom: Breyers Engagers
0166,Custom: Donut Campaign Retargeting
0167,Custom: IC Postmates
0168,Custom: IC UberEats
0169,Custom: IC DoorDash
0170,Custom: IC GrubHub
0171,Custom: Baby Dove Pre- & Post-Natal Moms
0172,Custom: PRM 1P Reactivation/Lapsed Users
0173,Custom: PRM 1P Net New
